"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000033730","ENSMUSG00000033730","Egr3",1.66641149413013,1.92376801241993,39.4458330512248,3.37286704706356e-10,1.64445252728987e-06
"ENSMUSG00000095170","ENSMUSG00000095170","Ighv8-11",2.24534482753878,3.30482990912078,35.2935344041342,2.83571901952231e-09,9.77699203550903e-06
"ENSMUSG00000028195","ENSMUSG00000028195","Cyr61",1.21985613518263,7.83579786623218,34.4206451316696,4.43988732997986e-09,1.27565362802538e-05
"ENSMUSG00000038418","ENSMUSG00000038418","Egr1",1.70127420915359,6.37153860334927,29.1717360741905,6.62384502874686e-08,0.000133672794199204
"ENSMUSG00000005540","ENSMUSG00000005540","Fcer2a",1.14900941371682,3.69647321231554,25.0916268834376,5.46697282755219e-07,0.000503687250921249
"ENSMUSG00000104213","ENSMUSG00000104213","Ighd",1.39972485330719,4.62205159475267,21.123458143093,4.30624280786317e-06,0.00239468773434688
"ENSMUSG00000014030","ENSMUSG00000014030","Pax5",1.18716224026397,3.99468548093286,19.203036307693,1.17526309228044e-05,0.00533167380205857
"ENSMUSG00000042474","ENSMUSG00000042474","Fcmr",1.34169676751859,3.48401552457023,17.4478541606228,2.95297435350983e-05,0.0110166429219473
"ENSMUSG00000023034","ENSMUSG00000023034","Nr4a1",1.17656995788278,6.86403321618702,17.4155724780584,3.00355135060922e-05,0.0110166429219473
"ENSMUSG00000073008","ENSMUSG00000073008","Gpr174",1.19967596539572,2.0791205727305,16.2473239625213,5.55880532287434e-05,0.0171110056194063
"ENSMUSG00000021250","ENSMUSG00000021250","Fos",1.04419935781594,5.989945619258,15.3005042105261,9.16920338844033e-05,0.0229385708853188
"ENSMUSG00000086610","ENSMUSG00000086610","Gm15408",1.42696442980614,-0.252979444143725,13.0810855448095,0.000298292536313531,0.0571362781500996
"ENSMUSG00000058470","ENSMUSG00000058470","Gm8369",1.32757871138853,1.19007092586534,12.8617707524391,0.000335363105729975,0.0621647804266564
"ENSMUSG00000059994","ENSMUSG00000059994","Fcrl1",1.09728966340551,2.27708407134438,12.0842725849463,0.000508489363391894,0.081165260514008
"ENSMUSG00000103527","ENSMUSG00000103527","Gm37261",1.15857833573333,0.524859179584932,11.6846060506015,0.000630193281468301,0.0905325164936003
"ENSMUSG00000022416","ENSMUSG00000022416","Cacna1i",1.35812153237716,1.31757005775897,11.2403875598433,0.000800364419080401,0.105787045044364
"ENSMUSG00000038421","ENSMUSG00000038421","Fcrla",1.10830018659681,2.461004412839,10.8374845059894,0.00099465765974339,0.122477881402259
