"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000058396","ENSMUSG00000058396","Gpr182",1.61314269519721,5.57739271507804,50.3342839838531,1.2966436264531e-12,1.86273662303541e-09
"ENSMUSG00000042750","ENSMUSG00000042750","Bex2",2.54392164244703,3.29095614380132,43.0447734924223,5.35013513753063e-11,4.22509904961218e-08
"ENSMUSG00000047844","ENSMUSG00000047844","Bex4",2.19857044598247,3.59542192683726,40.5421654873498,1.92418514180342e-10,1.16372651302466e-07
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",1.91743405233417,7.34682351997506,36.7295997396764,1.35703263434742e-09,4.7742623639827e-07
"ENSMUSG00000050671","ENSMUSG00000050671","Ism2",3.04875186652502,-0.788669266218041,34.7635787992105,3.72273080456227e-09,9.87325482151521e-07
"ENSMUSG00000029829","ENSMUSG00000029829","Tmem213",2.55907029646114,0.349210926788293,31.2366513052268,2.28412683396451e-08,4.28000679246894e-06
"ENSMUSG00000027380","ENSMUSG00000027380","Acoxl",1.51808523593864,4.0551056908557,30.4425588249443,3.43899944484132e-08,5.76658608044525e-06
"ENSMUSG00000032172","ENSMUSG00000032172","Olfm2",2.88009279417555,1.47996484423194,28.5495011472763,9.13333558806374e-08,1.29057026395599e-05
"ENSMUSG00000041794","ENSMUSG00000041794","Myrip",1.59900419571712,3.91765398713124,27.3590370301037,1.68972922131718e-07,2.15772163305828e-05
"ENSMUSG00000027442","ENSMUSG00000027442","Cst8",2.64151029254458,-0.0491011355681243,26.9191621581023,2.12145094471396e-07,2.53637071465056e-05
"ENSMUSG00000053469","ENSMUSG00000053469","Tg",1.58700251767495,1.43444155260886,24.5973116875703,7.06502267129592e-07,6.15120837527628e-05
"ENSMUSG00000039114","ENSMUSG00000039114","Nrn1",1.20311185713367,4.56221611674519,23.5339022273799,1.22731979793799e-06,9.9549838502627e-05
"ENSMUSG00000049128","ENSMUSG00000049128","Ivl",2.27761854942837,0.49946054495589,22.4557865355781,2.15036694422395e-06,0.000152552163586324
"ENSMUSG00000019893","ENSMUSG00000019893","Ros1",2.68227506024312,2.91461998303517,22.248715915309,2.39518909579742e-06,0.000167168683491707
