Unnamed: 0,ID,Gene.name,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000005483,ENSMUSG00000005483,Dnajb1,-1.39909904841904,6.81276171295102,39.2049805957358,3.81565642389899e-10,1.64445252728987e-06
ENSMUSG00000028410,ENSMUSG00000028410,Dnaja1,-1.13531577206692,8.30082151987464,29.5092340578831,5.56509289055133e-08,0.0001336727941992
ENSMUSG00000097554,ENSMUSG00000097554,Gm26825,-1.03323550959355,5.70403032524613,26.2435900965416,3.00952074335252e-07,0.0003990856007281
ENSMUSG00000020288,ENSMUSG00000020288,Ahsa2,-1.07646952562283,4.65826179358979,23.0019215966193,1.61839551436385e-06,0.0011657888834559
ENSMUSG00000022206,ENSMUSG00000022206,Npr3,-1.22916267806956,7.27399106677621,22.5352930602991,2.06317998433623e-06,0.0013679676826912
ENSMUSG00000098973,ENSMUSG00000098973,Mir6236,-1.40645321026433,4.35426323143145,21.6906803311265,3.20343827895657e-06,0.0020453360181826
ENSMUSG00000021270,ENSMUSG00000021270,Hsp90aa1,-1.02813780436164,9.0418469429857,20.1487032445922,7.16488056040999e-06,0.0035290107423116
ENSMUSG00000076258,ENSMUSG00000076258,Gm23935,-1.19309576610439,6.03879321800016,14.9993668217885,0.0001075472557813,0.0253973581152623
ENSMUSG00000023243,ENSMUSG00000023243,Kcnk5,-1.03391251661088,3.89331779322185,14.5583848803664,0.0001358825999121,0.0304218199985226
ENSMUSG00000105746,ENSMUSG00000105746,Gm43595,-1.22448772913415,1.46336338527696,13.0117762833581,0.000309538183296,0.0580013993678238
ENSMUSG00000098178,ENSMUSG00000098178,Gm42418,-1.28815136933267,8.96808015773815,12.015895930619,0.0005274872556014,0.0819220972911194
ENSMUSG00000083899,ENSMUSG00000083899,Gm12346,-1.12753131057232,1.83325446363981,11.8285121521759,0.0005833058505228,0.0866862892858919
