Unnamed: 0,ID,Gene.name,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000054690,ENSMUSG00000054690,Emcn,-1.14826880036805,5.95026461175116,55.7783941563237,8.1118163790031e-14,3.4959900639408603e-10
ENSMUSG00000027955,ENSMUSG00000027955,Fam198b,-1.04507406250462,6.2244379275567,53.6813917392336,2.35785963371125e-13,4.51634913617202e-10
ENSMUSG00000021775,ENSMUSG00000021775,Nr1d2,-1.89649211668616,6.76350979389965,43.0295346076086,5.3919704792312795e-11,4.22509904961218e-08
ENSMUSG00000020826,ENSMUSG00000020826,Nos2,-1.34872599497671,4.22570850756985,42.1879384695198,8.290980035646129e-11,6.2142697754132e-08
ENSMUSG00000021198,ENSMUSG00000021198,Unc79,-1.12704627606177,3.71371941477896,41.8198055756812,1.0008446401963401e-10,6.9014243009379e-08
ENSMUSG00000037411,ENSMUSG00000037411,Serpine1,-1.16922333538168,6.66197996217797,39.9381331620499,2.62135297519216e-10,1.32910305703934e-07
ENSMUSG00000064325,ENSMUSG00000064325,Hhip,-1.16401920692774,6.13791814806833,38.9421110611337,4.3656092118204e-10,2.07292448753114e-07
ENSMUSG00000020658,ENSMUSG00000020658,Efr3b,-1.11389494521257,4.51214972189477,36.6195990796118,1.4358083647053e-09,4.85331380375581e-07
ENSMUSG00000009394,ENSMUSG00000009394,Syn2,-1.27148711888827,3.82645178206717,36.2081750066276,1.7732513411233e-09,5.55801452174992e-07
ENSMUSG00000061132,ENSMUSG00000061132,Blnk,-1.21470626765093,3.52837962962046,35.9872535709272,1.9861252917377302e-09,5.80318879733334e-07
ENSMUSG00000016200,ENSMUSG00000016200,Syt14,-1.22222111743524,3.03235669349188,34.8605777814657,3.5418007853306104e-09,9.69160376798641e-07
ENSMUSG00000036437,ENSMUSG00000036437,Npy1r,-1.05224085267272,3.88325906364385,34.7831486962479,3.68549702743209e-09,9.87325482151521e-07
ENSMUSG00000003882,ENSMUSG00000003882,Il7r,-1.07945999174323,4.70348674735566,32.3952872729672,1.25791171021382e-08,2.67717777436742e-06
ENSMUSG00000052516,ENSMUSG00000052516,Robo2,-1.28934689813972,5.68053080682176,31.1466540880229,2.39251396795229e-08,4.38771790356698e-06
ENSMUSG00000034593,ENSMUSG00000034593,Myo5a,-1.01454930422359,6.36130618006826,30.5727436481066,3.2157986767025e-08,5.56470891914134e-06
ENSMUSG00000074417,ENSMUSG00000074417,Gm14548,-1.2533802123977,2.97560304101884,29.2780052299424,6.27033988988465e-08,9.60164401383462e-06
ENSMUSG00000097993,ENSMUSG00000097993,Ptprv,-1.11983622163173,2.43072708289706,28.5817510564022,8.98247533041296e-08,1.27974291091726e-05
ENSMUSG00000039519,ENSMUSG00000039519,Cyp7b1,-1.29801385154382,3.0591954938449,28.3614604543871,1.00649186486264e-07,1.39926719825541e-05
ENSMUSG00000031196,ENSMUSG00000031196,F8,-1.46298596040309,2.46903422294221,27.4400821324255,1.62037733389532e-07,2.10027705706928e-05
ENSMUSG00000032860,ENSMUSG00000032860,P2ry2,-1.0842781479288,4.77557111920758,27.320401829783,1.72382957148711e-07,2.16625153763443e-05
ENSMUSG00000030256,ENSMUSG00000030256,Bhlhe41,-1.08733527126761,5.08912853328161,26.9508212963838,2.08698450030661e-07,2.53362857752011e-05
ENSMUSG00000026358,ENSMUSG00000026358,Rgs1,-1.91672177060666,3.00986853654681,26.3445802196993,2.8561926491983e-07,3.19726656360581e-05
ENSMUSG00000032053,ENSMUSG00000032053,Pou2af1,-1.10497472044898,4.33968108282676,25.5929697711623,4.215725436733e-07,4.30076854997001e-05
ENSMUSG00000038147,ENSMUSG00000038147,Cd84,-1.01923410368924,5.91158042639454,25.4855463643945,4.45709469460976e-07,4.44137892718946e-05
ENSMUSG00000003153,ENSMUSG00000003153,Slc2a3,-1.04805551953501,4.70551709493508,25.4665892295134,4.50110561961244e-07,4.44228215888035e-05
ENSMUSG00000059824,ENSMUSG00000059824,Dbp,-2.51706784581062,5.2589661531659,25.325262364822,4.84323899036653e-07,4.58750532719388e-05
ENSMUSG00000027737,ENSMUSG00000027737,Slc7a11,-1.00974218184383,3.9188114948162,24.5658107556975,7.18146621537976e-07,6.22117065763476e-05
ENSMUSG00000055254,ENSMUSG00000055254,Ntrk2,-1.76442565372027,5.33956397267135,24.3540404210188,8.0158440027743e-07,6.88006367303354e-05
ENSMUSG00000024781,ENSMUSG00000024781,Lipa,-1.05325296940941,7.72304900134477,24.1388291976292,8.96346019555997e-07,7.61187637001273e-05
ENSMUSG00000020901,ENSMUSG00000020901,Pik3r5,-1.05781573063576,5.28949408085832,22.6770730668691,1.9164088436781e-06,0.0001427507706676
ENSMUSG00000028957,ENSMUSG00000028957,Per3,-1.24556475415011,6.16064725404965,22.5317113368263,2.06703033251067e-06,0.0001501534302973
ENSMUSG00000034652,ENSMUSG00000034652,Cd300a,-1.06618548683439,4.41963112632266,22.4587263467422,2.14707827708494e-06,0.0001525521635863
ENSMUSG00000090698,ENSMUSG00000090698,Apold1,-2.01386000597498,3.82596224319063,22.3699544783112,2.24864450190525e-06,0.0001582219696667
ENSMUSG00000085786,ENSMUSG00000085786,Gm15987,-1.31541207233359,1.35054878051911,22.0988972061187,2.58958467668216e-06,0.0001785674009652
ENSMUSG00000076614,ENSMUSG00000076614,Ighg1,-2.59651453527327,4.57826391843893,21.9053101881499,2.8644019730842e-06,0.0001936448063294
ENSMUSG00000071347,ENSMUSG00000071347,C1qtnf9,-1.53438210553117,1.5038295192986,21.7741481792303,3.06705029231529e-06,0.0002033572307277
ENSMUSG00000026398,ENSMUSG00000026398,Nr5a2,-1.98145990416544,2.10319848741943,21.1535030935798,4.23925644036237e-06,0.0002632895338737
ENSMUSG00000052143,ENSMUSG00000052143,Gm9869,-1.98258461514094,0.392983754619515,21.0459926092379,4.48389663727056e-06,0.000273137435088
ENSMUSG00000026678,ENSMUSG00000026678,Rgs5,-1.25914657818836,5.61451803845034,20.6061062177465,5.64158869616592e-06,0.0003308005018136
ENSMUSG00000071714,ENSMUSG00000071714,Csf2rb2,-1.08416767826797,5.54624639579091,20.5724244268426,5.74172425486006e-06,0.0003331116651968
ENSMUSG00000037872,ENSMUSG00000037872,Ackr1,-2.0920459564485,0.518640061218421,20.5669070167845,5.75829666620281e-06,0.0003331116651968
ENSMUSG00000018774,ENSMUSG00000018774,Cd68,-1.09700547790031,6.70805721088163,20.108148288846,7.31842185830759e-06,0.0004082921502115
ENSMUSG00000020889,ENSMUSG00000020889,Nr1d1,-1.80695268831589,5.83448074444813,19.9376801671686,8.00078346782353e-06,0.0004337724717333
ENSMUSG00000096844,ENSMUSG00000096844,Igkv6-14,-2.88970142665054,2.87973141682506,19.6286612790074,9.40477692635591e-06,0.0004960013207552
ENSMUSG00000037660,ENSMUSG00000037660,Gdf7,-2.20069128685316,0.036996146464485,19.4157623181235,1.05135746258693e-05,0.0005443090020591
ENSMUSG00000028019,ENSMUSG00000028019,Pdgfc,-1.01372752870931,2.99370546867486,19.4099157349028,1.05458093095738e-05,0.0005443090020591
ENSMUSG00000040552,ENSMUSG00000040552,C3ar1,-1.05031921063239,3.51724468424951,19.0330743848559,1.28472229739469e-05,0.000640561413128
ENSMUSG00000075224,ENSMUSG00000075224,Lrrc55,-2.04407356789899,0.306988242099661,18.576944303182,1.63182254801169e-05,0.0007728293655267
ENSMUSG00000079685,ENSMUSG00000079685,Ulbp1,-1.23985161925983,2.06861612386889,18.0729143433041,2.12604408985856e-05,0.0009569418815945
ENSMUSG00000074472,ENSMUSG00000074472,Zfp872,-1.29749074608247,1.72701517831137,17.9437926476211,2.27525222517199e-05,0.00100567481858
ENSMUSG00000074802,ENSMUSG00000074802,Gas2l3,-1.08555753704609,2.91787673868794,17.2138730457464,3.3398846137301e-05,0.0013389830431649
ENSMUSG00000020684,ENSMUSG00000020684,Rasl10b,-1.07005791887228,2.20392028812425,17.1457614026233,3.46181049039183e-05,0.0013656327469991
ENSMUSG00000076550,ENSMUSG00000076550,Igkv4-63,-2.10605645718068,2.53103831257254,16.9662677916742,3.80498743423093e-05,0.0014728067037388
ENSMUSG00000076937,ENSMUSG00000076937,Iglc2,-1.29190484825696,4.30328147040098,16.7173362354582,4.33827498371518e-05,0.0016237680411326
ENSMUSG00000034387,ENSMUSG00000034387,Ssu2,-2.62246462314992,-0.17645339729351,16.5546053132451,4.7269050662881e-05,0.0017227720177112
ENSMUSG00000076540,ENSMUSG00000076540,Igkv4-80,-3.00566469855155,1.88885286988361,16.5276620566214,4.79454757291823e-05,0.0017437385149691
ENSMUSG00000076608,ENSMUSG00000076608,Igkj5,-1.56701395456902,1.50346266490096,16.3795251421071,5.18422294644807e-05,0.0018574736186018
ENSMUSG00000042845,ENSMUSG00000042845,Wfdc12,-2.69279611046006,0.449605673833255,16.3062443077208,5.38860903141678e-05,0.0018996775274559
ENSMUSG00000094117,ENSMUSG00000094117,Igkv3-12,-1.91636465472645,4.67905395434401,16.2729593050654,5.48410103884817e-05,0.0019254667578147
ENSMUSG00000076607,ENSMUSG00000076607,Igkj4,-1.33206787469051,1.14819722713366,16.1837566588564,5.74849296942482e-05,0.0020019852585841
ENSMUSG00000045362,ENSMUSG00000045362,Tnfrsf26,-1.29185464982858,2.721958361121,16.0523629782507,6.16146879978578e-05,0.002114838471545
ENSMUSG00000105757,ENSMUSG00000105757,Ighv1-83,-2.51276606965585,-0.109575776752404,16.0015308138288,6.32912871965768e-05,0.0021477923227987
ENSMUSG00000020334,ENSMUSG00000020334,Slc22a4,-1.45156930041638,1.53544885963109,15.8040630699503,7.0251486197744e-05,0.0023156125632178
ENSMUSG00000031594,ENSMUSG00000031594,Fgl1,-3.07287587965755,0.312965816112587,15.7774381422792,7.12470815035146e-05,0.002339482739122
ENSMUSG00000022496,ENSMUSG00000022496,Tnfrsf17,-2.17737263594535,0.0199409410701912,15.7227906338225,7.33352237520314e-05,0.0023808397782698
ENSMUSG00000020017,ENSMUSG00000020017,Hal,-1.04987986862536,3.21765205653708,15.2688062972083,9.32436968571684e-05,0.0029014947475103
ENSMUSG00000095442,ENSMUSG00000095442,Ighv1-4,-2.4410559276039,2.46643764201426,15.2504380013049,9.41549183214825e-05,0.0029193104981007
ENSMUSG00000025938,ENSMUSG00000025938,Slco5a1,-1.44041305765278,2.01008540333075,15.2267020897736,9.53457032995814e-05,0.002943255249841
