Unnamed: 0,ID,Gene.name,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000053093,ENSMUSG00000053093,Myh7,1.0719877451704,7.10583622787707,67.7124534411302,1.89164962093623e-16,1.63050739076599e-12
ENSMUSG00000014030,ENSMUSG00000014030,Pax5,1.66639217492352,3.99468548093286,37.3093987254481,1.00797653764643e-09,3.77750163749714e-07
ENSMUSG00000044041,ENSMUSG00000044041,Krt13,8.03545636668935,5.26534712009075,31.2234574510421,2.2997035561076e-08,3.77567520035609e-06
ENSMUSG00000027186,ENSMUSG00000027186,Elf5,1.04285922134421,4.31691293254613,31.0846647145901,2.47015240315477e-08,3.97971563345655e-06
ENSMUSG00000079278,ENSMUSG00000079278,Tmem233,1.69556129732805,0.896020785122255,30.8985777634895,2.71870942403941e-08,4.33961405194586e-06
ENSMUSG00000019987,ENSMUSG00000019987,Arg1,1.8503208836948,0.660259121503333,30.1723085015323,3.95313700986137e-08,5.92592425330436e-06
ENSMUSG00000026581,ENSMUSG00000026581,Sell,1.37659909034894,5.06017157450225,28.5689363367548,9.04211939043017e-08,1.12141795806925e-05
ENSMUSG00000043165,ENSMUSG00000043165,Lor,7.43373008395683,5.30054523564829,28.5437722829894,9.16039870937015e-08,1.12797223822023e-05
ENSMUSG00000005540,ENSMUSG00000005540,Fcer2a,1.21826915167665,3.69647321231554,28.2093662165838,1.08876433430003e-07,1.29442816268953e-05
ENSMUSG00000036192,ENSMUSG00000036192,Rorb,2.50808736621467,-0.22943023213522,28.0607355265291,1.17567107292187e-07,1.3881776456233e-05
ENSMUSG00000029522,ENSMUSG00000029522,Pla2g1b,1.1478993254532,3.8024058574306,27.3534941979625,1.69457960322651e-07,1.94752385200146e-05
ENSMUSG00000039013,ENSMUSG00000039013,Siglec5,1.06871035517349,3.76321493649997,26.8360065264669,2.21472203893685e-07,2.38622457682702e-05
ENSMUSG00000059741,ENSMUSG00000059741,Myl3,3.84577074237248,2.36063973194691,25.4821882030471,4.46485944578044e-07,4.22910505416533e-05
ENSMUSG00000037944,ENSMUSG00000037944,Ccr7,1.11825927788137,3.96632296110062,25.0258857061828,5.65657757222744e-07,5.0417638853316e-05
ENSMUSG00000041538,ENSMUSG00000041538,H2-Ob,1.0533306853005,4.11617733273882,24.8431936986406,6.2188234167786e-07,5.46970902458399e-05
ENSMUSG00000037492,ENSMUSG00000037492,Zmat4,1.66051943064967,0.826296421447707,24.2430044004941,8.4914940769853e-07,7.07173267599757e-05
ENSMUSG00000030156,ENSMUSG00000030156,Cd69,1.17518686335033,2.38181277099132,24.0777757016342,9.25219841582969e-07,7.43431690898462e-05
ENSMUSG00000044770,ENSMUSG00000044770,Scml4,1.25071599301126,2.32103740775557,23.8331418017071,1.05057938471962e-06,8.30776973081721e-05
ENSMUSG00000040592,ENSMUSG00000040592,Cd79b,1.15367331260534,4.34900376287714,23.6591431949036,1.14998231633607e-06,8.92997529338629e-05
ENSMUSG00000059668,ENSMUSG00000059668,Krt4,5.98813442650104,5.51760074285558,22.7116489311465,1.88223355659659e-06,0.0001329828864023
ENSMUSG00000056328,ENSMUSG00000056328,Myh1,7.14810907820095,2.92491016885257,22.5627246997105,2.0339285772352e-06,0.0001396928077408
ENSMUSG00000033508,ENSMUSG00000033508,Asprv1,5.59323617352849,2.51052357959782,22.4203485533124,2.19041008083697e-06,0.0001498431721569
ENSMUSG00000038418,ENSMUSG00000038418,Egr1,1.45501621261097,6.37153860334927,21.6248581539259,3.31527183821311e-06,0.0002093478799229
ENSMUSG00000046093,ENSMUSG00000046093,Hpcal4,1.36666405832135,3.26167413329179,21.6128208771441,3.33614323385277e-06,0.0002098969825123
ENSMUSG00000038421,ENSMUSG00000038421,Fcrla,1.56676997397899,2.461004412839,21.5946189414378,3.36795419911503e-06,0.0002105241421248
ENSMUSG00000022696,ENSMUSG00000022696,Sidt1,1.0617649358675,2.75757324698606,21.2755171717141,3.97779641042847e-06,0.0002405643779797
ENSMUSG00000017300,ENSMUSG00000017300,Tnnc2,10.829339529272,0.983693241679198,21.1413463612387,4.26623346075355e-06,0.0002527340159104
ENSMUSG00000055333,ENSMUSG00000055333,Fat2,1.11581809468554,2.53621123564546,21.1004959440342,4.35815318117468e-06,0.0002555449071097
ENSMUSG00000041984,ENSMUSG00000041984,Rptn,4.63250920660746,2.77073327927955,20.9055471450307,4.82495336363353e-06,0.0002781851874102
ENSMUSG00000055775,ENSMUSG00000055775,Myh8,7.80308381456885,4.32355703703553,20.7194928607742,5.3171955498213e-06,0.0003025185943345
ENSMUSG00000046352,ENSMUSG00000046352,Gjb2,1.20496166176919,2.38762932095278,20.5375397769212,5.8473170563218e-06,0.0003246044493072
ENSMUSG00000038515,ENSMUSG00000038515,Grtp1,1.05601682134724,3.84283332336411,20.5056930733356,5.94541534925684e-06,0.0003285032538648
ENSMUSG00000030724,ENSMUSG00000030724,Cd19,1.41176699122862,3.55280174030437,20.3449247262762,6.46643731369581e-06,0.0003516558765009
ENSMUSG00000044594,ENSMUSG00000044594,Serpinb3a,10.2220696200025,0.376751899793762,20.1753710754744,7.06568245637179e-06,0.0003724932717596
ENSMUSG00000027401,ENSMUSG00000027401,Tgm3,6.0285278065575,2.38942471699625,20.0427764292083,7.57290456050334e-06,0.0003932207883087
ENSMUSG00000070564,ENSMUSG00000070564,Ntn5,1.35171177360755,1.75948255460339,19.9005771454752,8.15756945615051e-06,0.0004128458139461
ENSMUSG00000030757,ENSMUSG00000030757,Zkscan2,1.81535833705803,0.137613840989706,19.7750559809033,8.7112151936099e-06,0.000431530571042
ENSMUSG00000022416,ENSMUSG00000022416,Cacna1i,1.78962461438304,1.31757005775897,19.6526197094065,9.28758907468685e-06,0.0004497436743217
ENSMUSG00000030672,ENSMUSG00000030672,Mylpf,3.60402308929789,2.05994365927238,19.644679935728,9.32626155718885e-06,0.0004503513248862
ENSMUSG00000033730,ENSMUSG00000033730,Egr3,1.17767915908946,1.92376801241993,19.274630504988,1.13200526360938e-05,0.0005236071047952
ENSMUSG00000063651,ENSMUSG00000063651,Cnfn,9.68061665739862,-0.135958366346843,19.2346923004247,1.15593522978307e-05,0.0005313911313661
ENSMUSG00000044737,ENSMUSG00000044737,Klk14,2.07261729482101,1.66596054107444,19.1622469659338,1.2006466927325e-05,0.0005446828509477
ENSMUSG00000031097,ENSMUSG00000031097,Tnni2,4.1200908265865,2.17338894148022,19.110637734944,1.23355417094031e-05,0.0005540734181397
ENSMUSG00000068697,ENSMUSG00000068697,Myoz1,4.76823821894135,-0.093281366425063,19.0604830386428,1.26640188100976e-05,0.0005612211317924
ENSMUSG00000001943,ENSMUSG00000001943,Vsig2,1.05534363381195,4.08975717445049,18.9378231672642,1.35048475835714e-05,0.0005908884961756
ENSMUSG00000059832,ENSMUSG00000059832,Kprp,9.36318145931821,-0.434288229186786,18.8683113342078,1.40060095715542e-05,0.0006043151552116
ENSMUSG00000059994,ENSMUSG00000059994,Fcrl1,1.36838077506562,2.27708407134438,18.8577969312518,1.40834252766744e-05,0.0006054468038518
ENSMUSG00000057454,ENSMUSG00000057454,Lypd3,9.11037885258676,-0.610165257814136,18.6064374217955,1.60677060958105e-05,0.0006706808362849
ENSMUSG00000056290,ENSMUSG00000056290,Ms4a4b,1.12557294434658,3.64334143079154,18.5278456683314,1.67440104079748e-05,0.0006938701813054
