"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000034936","ENSMUSG00000034936","Arl4d",-1.48212929169968,4.97330929388316,77.5784488175394,1.27554311374736e-18,2.19890877378907e-14
"ENSMUSG00000095170","ENSMUSG00000095170","Ighv8-11",3.51909411164869,3.30482990912078,74.8153206070124,5.16870478517493e-18,4.45516508958153e-14
"ENSMUSG00000041202","ENSMUSG00000041202","Pla2g2d",1.93910853322981,4.32135380684575,73.7634225123003,8.80634177233981e-18,5.0604175271122e-14
"ENSMUSG00000027955","ENSMUSG00000027955","Fam198b",1.22121258834156,6.2244379275567,72.6621426535974,1.53857319605426e-17,6.63086583169484e-14
"ENSMUSG00000027380","ENSMUSG00000027380","Acoxl",-2.44500218680706,4.0551056908557,71.7959120709837,2.38646138480931e-17,7.89060872173801e-14
"ENSMUSG00000058396","ENSMUSG00000058396","Gpr182",-1.95368766640655,5.57739271507804,71.5187847401742,2.74631082605882e-17,7.89060872173801e-14
"ENSMUSG00000096464","ENSMUSG00000096464","Ighv2-2",3.06359386320856,3.56658265525773,69.9198534287139,6.17636660577888e-17,1.52106262738603e-13
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",-2.7000736254963,7.34682351997506,68.5163015718346,1.258330910947e-16,2.71154582172692e-13
"ENSMUSG00000042750","ENSMUSG00000042750","Bex2",-3.35812330292821,3.29095614380132,67.0410306184163,2.65914682205973e-16,5.0934480072764e-13
"ENSMUSG00000027227","ENSMUSG00000027227","Sord",1.20433009262527,5.95677157161033,66.6670861236572,3.21457863591335e-16,5.54161211045103e-13
"ENSMUSG00000069515","ENSMUSG00000069515","Lyz1",2.07908998141597,9.38461367134551,65.1584916512895,6.91100008633072e-16,1.08307936807505e-12
"ENSMUSG00000047844","ENSMUSG00000047844","Bex4",-2.89185359474616,3.59542192683726,64.247419709501,1.09735558805936e-15,1.57644274854627e-12
"ENSMUSG00000039239","ENSMUSG00000039239","Tgfb2",0.839977082311477,6.19301056106402,61.5840839393759,4.24234044166968e-15,5.62566975953413e-12
"ENSMUSG00000040613","ENSMUSG00000040613","Apobec1",1.49161034413128,4.34963157150761,60.8340389914145,6.20949146913265e-15,7.64610167402698e-12
"ENSMUSG00000073418","ENSMUSG00000073418","C4b",1.12915169067584,8.62138180230878,60.5166006242417,7.29605796996564e-15,8.38511622294918e-12
"ENSMUSG00000001240","ENSMUSG00000001240","Ramp2",-1.33350965393809,7.72385554235044,59.5179450614478,1.21184038376386e-14,1.30568227348157e-11
"ENSMUSG00000029811","ENSMUSG00000029811","Aoc1",2.57326588855697,2.42163538024481,59.3548042541734,1.31658369469552e-14,1.33509331252095e-11
"ENSMUSG00000016494","ENSMUSG00000016494","Cd34",1.02607116466737,8.08919709102048,58.2844585270747,2.26828939085202e-14,2.10668949742469e-11
"ENSMUSG00000030357","ENSMUSG00000030357","Fkbp4",-1.21639450602625,7.45295488390344,58.2385091927089,2.32189224729214e-14,2.10668949742469e-11
"ENSMUSG00000030237","ENSMUSG00000030237","Slco1a4",4.40172764993001,0.583261924680741,58.0790601498637,2.51792279755393e-14,2.17032355535161e-11
"ENSMUSG00000022579","ENSMUSG00000022579","Gpihbp1",-1.27639570985799,6.70554505492104,57.5404491694468,3.31099752110865e-14,2.71801363173295e-11
"ENSMUSG00000020826","ENSMUSG00000020826","Nos2",1.58213755937711,4.22570850756985,57.3686725775336,3.61316704904903e-14,2.83124485266164e-11
"ENSMUSG00000040552","ENSMUSG00000040552","C3ar1",1.83331094536377,3.51724468424951,56.9982745982203,4.36194428544572e-14,3.26937206681734e-11
"ENSMUSG00000022297","ENSMUSG00000022297","Fzd6",0.78887305441758,5.96758928317729,55.8223419984562,7.93249082684073e-14,5.56750132218021e-11
