"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-3.15341020698602,5.38326389734012,315.807992704141,1.18584998218409e-70,2.04428678428714e-66
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-2.80836903412288,4.77617811550536,291.978559022411,1.84268533197704e-65,1.58830262189761e-61
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",-1.79652743536516,6.68839676291668,284.280230659289,8.76767606935444e-64,5.03819892532004e-60
"ENSMUSG00000087582","ENSMUSG00000087582","Ighv6-7",-6.80248474310159,0.49015452822365,153.634926179586,2.78299573607413e-35,9.5952126988364e-32
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",-1.55274389762644,6.03884573093037,128.607087270816,8.26646421224887e-30,2.37509294258264e-26
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-1.23411277539971,6.30410973432982,84.6554169454239,3.55169501507334e-20,8.74681005212133e-17
"ENSMUSG00000076613","ENSMUSG00000076613","Ighg2b",-1.41352230181444,7.16518296313459,64.0433905241996,1.21708922000741e-15,2.33126678485642e-12
"ENSMUSG00000066363","ENSMUSG00000066363","Serpina3f",-1.42409653429237,3.19075184963474,39.3364701184707,3.56716040219436e-10,4.73032909026373e-07
"ENSMUSG00000076940","ENSMUSG00000076940","Iglv2",-1.95532627117467,3.05984415714521,37.2454370297175,1.04158419358407e-09,1.28256213665684e-06
"ENSMUSG00000023243","ENSMUSG00000023243","Kcnk5",-1.20021474590327,3.35371630940124,34.968238489508,3.35127527818534e-09,3.20959080670206e-06
"ENSMUSG00000094433","ENSMUSG00000094433","Igkv5-43",-1.32078303285104,5.53108700293084,34.060884821296,5.34142729278656e-09,4.84636132107092e-06
"ENSMUSG00000076615","ENSMUSG00000076615","Ighg3",-2.25046257308916,5.24305082286497,33.9446580659459,5.6702152341574e-09,4.88744202108197e-06
"ENSMUSG00000105906","ENSMUSG00000105906","Iglc1",-1.24888051768049,5.0769975968192,31.6511730663976,1.84503115808712e-08,1.2465327335591e-05
"ENSMUSG00000076532","ENSMUSG00000076532","Igkv4-91",-1.75657742707896,3.25570858693637,31.6273880093241,1.86776753280818e-08,1.2465327335591e-05
"ENSMUSG00000095497","ENSMUSG00000095497","Igkv1-122",-3.86151057618763,3.56387869017493,30.0695305922697,4.16829242163853e-08,2.47783424333195e-05
"ENSMUSG00000096672","ENSMUSG00000096672","Ighv1-63",-2.57766570641398,1.32484330234294,29.9629866808735,4.40372557580854e-08,2.53052750671211e-05
"ENSMUSG00000014773","ENSMUSG00000014773","Dll1",-1.06883394049877,4.71783975445037,29.201647893908,6.52237093874346e-08,3.5137235191562e-05
"ENSMUSG00000055994","ENSMUSG00000055994","Nod2",-1.12805459787329,3.29719538134009,23.1802557365096,1.47504036680602e-06,0.00050856441766738
